Gene,Predicted Label,Probability
DMD,[1],[0.9969529]
GPC5,[1],[0.99692243]
FOXA1,[1],[0.9968522]
EP300,[1],[0.99680835]
MUC4,[1],[0.9959054]
NF1,[1],[0.9956448]
ACTB,[1],[0.99563354]
SPTAN1,[1],[0.99553066]
YBX1,[1],[0.995449]
NCOR1,[1],[0.9953223]
CREBBP,[1],[0.9952551]
ZFP36L1,[1],[0.99525356]
TG,[1],[0.99467033]
FUT9,[1],[0.99465746]
AHNAK,[1],[0.9946209]
RNF213,[1],[0.9946043]
HUWE1,[1],[0.9945745]
PCDH15,[1],[0.99422246]
NEB,[1],[0.9940752]
WNK1,[1],[0.99405295]
VCL,[1],[0.9936838]
AKAP9,[1],[0.99330807]
TBX3,[1],[0.99322]
MDN1,[1],[0.9931064]
FAT3,[1],[0.9930167]
PLEC,[1],[0.9928067]
RIMS2,[1],[0.9925673]
ERBB4,[1],[0.99255544]
ZFR,[1],[0.99251807]
PRKDC,[1],[0.99242777]
TNRC6A,[1],[0.9923759]
ZNF521,[1],[0.9919586]
ALB,[1],[0.99194324]
AKT1,[1],[0.991814]
FGFR3,[1],[0.9917596]
SIPA1L1,[1],[0.9915031]
HSP90AB1,[1],[0.9914853]
ANK3,[1],[0.99118924]
RYR3,[1],[0.9911327]
TNRC6B,[1],[0.99111724]
TGFBR2,[1],[0.9909473]
YEATS2,[1],[0.99086505]
YY1,[1],[0.9903606]
ST6GALNAC3,[1],[0.9901142]
CHD4,[1],[0.9898247]
MAP2,[1],[0.9897781]
COL12A1,[1],[0.9897315]
LRP1,[1],[0.9896081]
YWHAZ,[1],[0.9894521]
SRRM2,[1],[0.9893742]
SMARCA4,[1],[0.9893309]
USP22,[1],[0.98922205]
COL11A1,[1],[0.9881103]
STAG2,[1],[0.98806876]
RYR1,[1],[0.9878628]
SF3B1,[1],[0.9870898]
TPT1,[1],[0.98707855]
PTPN14,[1],[0.9867591]
MYH2,[1],[0.98581254]
SPTBN1,[1],[0.9855172]
NIPBL,[1],[0.98532367]
VCP,[1],[0.98437345]
U2AF2,[1],[0.9842994]
UTRN,[1],[0.98411685]
TCF7L2,[1],[0.98370725]
TEAD1,[1],[0.98368406]
RB1,[1],[0.9833143]
HSPG2,[1],[0.98207754]
TMSB4X,[1],[0.9817653]
USP32,[1],[0.98111033]
ZNF207,[1],[0.9810416]
ZFP36L2,[1],[0.98099905]
MYCBP2,[1],[0.9807467]
MYH9,[1],[0.98063904]
WDR82,[1],[0.9806244]
REV3L,[1],[0.9803704]
ZFYVE16,[1],[0.9802848]
WASF2,[1],[0.9802097]
UBB,[1],[0.980145]
YWHAQ,[1],[0.9801334]
ZNRF2,[1],[0.9796195]
IGF1R,[1],[0.979428]
ANK2,[1],[0.9790452]
ZNF638,[1],[0.97879547]
ZEB1,[1],[0.978023]
HERC2,[1],[0.9778566]
VIM,[1],[0.97781134]
SRCAP,[1],[0.9769344]
WWOX,[1],[0.97631466]
PDE10A,[1],[0.9760897]
SCN1A,[1],[0.97608817]
ZYG11B,[1],[0.97604865]
ATRX,[1],[0.9760177]
DNAH11,[1],[0.9758839]
JAK1,[1],[0.9755452]
RUNX1,[1],[0.9752969]
DYNC2H1,[1],[0.97513664]
XPO1,[1],[0.97501457]
XRCC6,[1],[0.9747004]
VMP1,[1],[0.97466713]
GNAS,[1],[0.97458446]
TNFRSF10D,[1],[0.97425586]
YAP1,[1],[0.97352284]
TNFRSF14,[1],[0.97335017]
VAT1,[1],[0.97298694]
ZFYVE26,[1],[0.9723662]
MUC5B,[1],[0.9723512]
MET,[1],[0.9722935]
SI,[1],[0.9717559]
ZBTB32,[1],[0.97109973]
CHD7,[1],[0.9710065]
ARID2,[1],[0.97061205]
UBA1,[1],[0.9694156]
ZNF384,[1],[0.96929705]
DNAH9,[1],[0.9690465]
GLI3,[1],[0.96859366]
IL6ST,[1],[0.9684747]
DNAH2,[1],[0.9673441]
ASH1L,[1],[0.9671838]
XRCC3,[1],[0.96690494]
AMER1,[1],[0.966779]
CDKN2A,[1],[0.96582264]
ZMIZ2,[1],[0.96467555]
ZNF587,[1],[0.9644284]
ITPR1,[1],[0.9630011]
TXNRD1,[1],[0.96271473]
MED12,[1],[0.9626649]
RPLP0,[1],[0.961808]
PKM,[1],[0.96180683]
FASN,[1],[0.9605751]
TUBA1A,[1],[0.96031666]
YKT6,[1],[0.9599159]
TPR,[1],[0.959532]
TIAM2,[1],[0.9594733]
VAV1,[1],[0.9585134]
TAOK1,[1],[0.95840275]
STAT3,[1],[0.9579409]
VPS51,[1],[0.95715785]
TPM4,[1],[0.956949]
ZNF318,[1],[0.9569166]
MKI67,[1],[0.9560031]
LILRB3,[1],[0.95542246]
ACTG1,[1],[0.9541681]
KRT80,[1],[0.9534958]
RPTOR,[1],[0.95346546]
TRRAP,[1],[0.9529434]
RELN,[1],[0.95243055]
VASN,[1],[0.9520543]
SFRP1,[1],[0.95180625]
CDK12,[1],[0.9510997]
CUX1,[1],[0.9509632]
ACVR2A,[1],[0.9495025]
TUBB6,[1],[0.9493669]
VDR,[1],[0.9492988]
FBN2,[1],[0.949045]
VASP,[1],[0.9490084]
TBL1XR1,[1],[0.948624]
HLA-A,[1],[0.94828933]
CENPF,[1],[0.9482444]
PCNT,[1],[0.9479289]
WSB1,[1],[0.9471056]
CNTN5,[1],[0.94708943]
FN1,[1],[0.94689924]
TAF1,[1],[0.94634515]
ZNF783,[1],[0.94491374]
JMJD1C,[1],[0.9446491]
ZZZ3,[1],[0.94440824]
VCAN,[1],[0.9438834]
YWHAG,[1],[0.94383824]
ATR,[1],[0.9430381]
TFDP1,[1],[0.9429523]
UGT8,[1],[0.9417699]
DPYD,[1],[0.9414937]
COL6A3,[1],[0.9409098]
SMC3,[1],[0.9407723]
SMG1,[1],[0.94029313]
ZSCAN10,[1],[0.9400818]
CDKN1A,[1],[0.939974]
UTP20,[1],[0.9390268]
TNS3,[1],[0.9386361]
DNAH8,[1],[0.9377513]
PTPRB,[1],[0.9368808]
UNC5C,[1],[0.936501]
WNK2,[1],[0.9352704]
SCD,[1],[0.9349147]
USP48,[1],[0.93470114]
YWHAB,[1],[0.9346528]
XPO6,[1],[0.9342436]
PTPRK,[1],[0.93406576]
LAMA3,[1],[0.9325449]
WDR33,[1],[0.9325191]
TLN1,[1],[0.93236446]
FRAS1,[1],[0.93166536]
WWTR1,[1],[0.93110967]
TUBB2B,[1],[0.9310484]
TFRC,[1],[0.9309217]
DYSF,[1],[0.9308929]
HERC1,[1],[0.9308268]
RPL3,[1],[0.93044215]
COL4A5,[1],[0.93042177]
CEP350,[1],[0.9303918]
STAT1,[1],[0.9296767]
TLL1,[1],[0.9290638]
IGF2,[1],[0.9289526]
ZFPM2,[1],[0.928879]
THRAP3,[1],[0.9288576]
UBE2D3,[1],[0.9288049]
TNXB,[1],[0.9280053]
WDR59,[1],[0.92790765]
DNAH14,[1],[0.9277488]
FGFR2,[1],[0.9268138]
ITPR2,[1],[0.9265961]
DSCAM,[1],[0.925475]
SLC4A4,[1],[0.9253436]
TRIP10,[1],[0.9250381]
UST,[1],[0.9249267]
B2M,[1],[0.9244705]
UPF2,[1],[0.92436075]
ZEB2,[1],[0.92411494]
COL5A1,[1],[0.92385906]
DNAH1,[1],[0.92383516]
TRIM28,[1],[0.9233269]
THBS1,[1],[0.9233109]
VAV3,[1],[0.9224087]
MED13,[1],[0.9221846]
ASPH,[1],[0.92157155]
TULP4,[1],[0.92141014]
XPO5,[1],[0.9209412]
ZNF423,[1],[0.9209226]
TP53BP1,[1],[0.9205479]
VLDLR,[1],[0.92004853]
NOTCH2,[1],[0.91975653]
TNC,[1],[0.9196197]
VDAC1,[1],[0.919176]
XBP1,[1],[0.91882575]
TPI1,[1],[0.91785467]
COL14A1,[1],[0.91782516]
PTPRD,[1],[0.9177942]
TUBB3,[1],[0.9177145]
SOS1,[1],[0.9172758]
TTC21B,[1],[0.9171836]
ERBB3,[1],[0.916169]
STAG1,[1],[0.915885]
RANBP2,[1],[0.91580987]
UQCRC2,[1],[0.91551346]
PRKCA,[1],[0.91548735]
SMARCC1,[1],[0.9141396]
TNS1,[1],[0.9141069]
WAC,[1],[0.9132817]
TXNIP,[1],[0.91311514]
UNC45B,[1],[0.9130428]
POLQ,[1],[0.91260177]
HSPA8,[1],[0.9125581]
RASA1,[1],[0.9121509]
GOLGA4,[1],[0.9113194]
ZNF8,[1],[0.91128635]
TJP1,[1],[0.9112624]
FLNA,[1],[0.9108813]
PYY,[1],[0.9105698]
WAS,[1],[0.91039675]
ZFP36,[1],[0.91025203]
HECW1,[1],[0.9102248]
SLC25A3,[1],[0.90990657]
MAP1A,[1],[0.9098126]
RBBP6,[1],[0.9097847]
ERBB2,[1],[0.90933836]
SOX4,[1],[0.9076356]
TUBA1C,[1],[0.907511]
SBF2,[1],[0.9068498]
CIT,[1],[0.90670353]
SND1,[1],[0.9063574]
WRN,[1],[0.9060918]
PCDHA9,[1],[0.9043956]
UCHL1,[1],[0.904366]
TYK2,[1],[0.9041115]
ARID5B,[1],[0.90365034]
VAV2,[1],[0.90336466]
WDR1,[1],[0.90283984]
STAT2,[1],[0.9025961]
TJP3,[1],[0.9025832]
TAP1,[1],[0.9017067]
TPO,[1],[0.9016902]
LAMA1,[1],[0.9014692]
KEAP1,[1],[0.90107596]
SREBF2,[1],[0.89983904]
SETX,[1],[0.8995221]
SIN3A,[1],[0.89951956]
SMARCB1,[1],[0.8987192]
EEF2,[1],[0.8987131]
ZYG11A,[1],[0.89822793]
XRN1,[1],[0.8979231]
PRPF8,[1],[0.89753306]
SEMA6D,[1],[0.8971344]
NHS,[1],[0.89705384]
ZW10,[1],[0.89702404]
PARD3,[1],[0.8968598]
SMAD2,[1],[0.896628]
WWP1,[1],[0.89623]
PLCE1,[1],[0.8956491]
UBE2E2,[1],[0.8948514]
IGF2R,[1],[0.89481556]
TRAF3,[1],[0.8944437]
HTT,[1],[0.8941495]
PKD1,[1],[0.8934631]
TNPO1,[1],[0.89317036]
UPF1,[1],[0.893105]
CAND1,[1],[0.8921421]
TGFB1,[1],[0.8920373]
NR3C2,[1],[0.89128774]
CUBN,[1],[0.8908026]
HMGA2,[1],[0.8888482]
WWC1,[1],[0.88874453]
TRPC1,[1],[0.88824904]
RNF43,[1],[0.8879932]
MYO10,[1],[0.8877703]
ARID1B,[1],[0.8877485]
VAMP2,[1],[0.8871432]
ABCC9,[1],[0.88666224]
NUMA1,[1],[0.88653016]
RPS2,[1],[0.8864019]
SMAD3,[1],[0.88622135]
SOX2,[1],[0.8853186]
CDH10,[1],[0.88504994]
WDR19,[1],[0.8841172]
MTOR,[1],[0.8828735]
VAMP8,[1],[0.88279617]
TYMS,[1],[0.8825959]
XPO7,[1],[0.8818064]
DNAH3,[1],[0.8808491]
CUL3,[1],[0.88080823]
VDAC2,[1],[0.8804413]
MYH4,[1],[0.8802698]
UQCRC1,[1],[0.87996614]
ZYX,[1],[0.8794837]
RPS23,[1],[0.8793537]
UBE4B,[1],[0.8786491]
CNOT1,[1],[0.8784379]
SYNCRIP,[1],[0.87819964]
TKT,[1],[0.87819415]
XYLT1,[1],[0.87777054]
FLRT2,[1],[0.8776055]
ZCCHC7,[1],[0.8767623]
HNRNPA1,[1],[0.87673956]
CA1,[1],[0.8767125]
WIPF1,[1],[0.87661237]
GP2,[1],[0.8764575]
SSTR3,[1],[0.87612826]
RAPGEF6,[1],[0.87580633]
USP44,[1],[0.87461084]
DSP,[1],[0.87447584]
ZWINT,[1],[0.87441075]
SMARCD1,[1],[0.87391645]
KDR,[1],[0.87380433]
TPM3,[1],[0.87333226]
PCF11,[1],[0.8732781]
CDH23,[1],[0.8728071]
COL5A3,[1],[0.8711143]
UBE2D2,[1],[0.8709881]
TFEB,[1],[0.87092054]
LRRC7,[1],[0.8705513]
SRSF4,[1],[0.8703217]
GPR15,[1],[0.8699234]
TGFBI,[1],[0.8688157]
MAFA,[1],[0.867904]
TNKS,[1],[0.86686647]
SLC25A6,[1],[0.86684895]
YEATS4,[1],[0.8664794]
ITGB1,[1],[0.8661608]
BRCA2,[1],[0.8660668]
SFRP2,[1],[0.8660627]
BRCA1,[1],[0.8659481]
RPS6,[1],[0.8655104]
TRIM35,[1],[0.8650981]
ZBTB7B,[1],[0.8649824]
PBX1,[1],[0.8648148]
TCF3,[1],[0.8640232]
CACNA1E,[1],[0.8635821]
UBE2S,[1],[0.8633316]
UCP2,[1],[0.8630376]
XRCC1,[1],[0.8627917]
UBE2T,[1],[0.8627213]
ALMS1,[1],[0.86259127]
SPECC1,[1],[0.8619913]
TUBB4B,[1],[0.8619619]
ACACA,[1],[0.861835]
RPS4X,[1],[0.8617945]
MMP7,[1],[0.8616413]
PCDH10,[1],[0.86146253]
SZT2,[1],[0.86121076]
DYNC1H1,[1],[0.8610474]
HLA-B,[1],[0.86096895]
TRERF1,[1],[0.8599547]
TRIOBP,[1],[0.8598589]
SRSF2,[1],[0.85981315]
CFH,[1],[0.859144]
SOX17,[1],[0.8587154]
XAB2,[1],[0.85803664]
SPIB,[1],[0.8578727]
TRPM7,[1],[0.85762143]
TRAF7,[1],[0.8574091]
NEGR1,[1],[0.85697836]
SNAP25,[1],[0.85631454]
FREM2,[1],[0.8558822]
ZNF131,[1],[0.8549975]
URB2,[1],[0.85492325]
RPL41,[1],[0.8548566]
SNCA,[1],[0.85456395]
HMGA1,[1],[0.853792]
EIF4A2,[1],[0.8535848]
SH3KBP1,[1],[0.85354084]
VAMP7,[1],[0.8529285]
MAP1B,[1],[0.85282487]
MYOC,[1],[0.85278827]
MAGI1,[1],[0.8524516]
UBE2K,[1],[0.8512861]
ZNF326,[1],[0.8512481]
ZC3HAV1,[1],[0.8511898]
UNC13D,[1],[0.8507527]
NFE2L2,[1],[0.8506251]
TAF15,[1],[0.85043126]
MAML2,[1],[0.85041815]
HSP90AA1,[1],[0.8502199]
PRDM16,[1],[0.85007155]
RPS9,[1],[0.84995174]
RAC1,[1],[0.84981966]
WLS,[1],[0.8496363]
TNIP1,[1],[0.84771794]
DNMT1,[1],[0.84727216]
TGFBR3,[1],[0.84674555]
RPS14,[1],[0.84632546]
RHOA,[1],[0.84594625]
AKAP13,[1],[0.84591883]
PLXNA2,[1],[0.8457832]
ASXL1,[1],[0.8454502]
RUNX1T1,[1],[0.84536964]
SLC16A1,[1],[0.8447275]
SMAD7,[1],[0.8443972]
TPX2,[1],[0.84419256]
GRIK1,[1],[0.8439916]
RIMS1,[1],[0.8439686]
KCNA5,[1],[0.8439107]
TNIK,[1],[0.84355915]
BDP1,[1],[0.84348834]
SLIT2,[1],[0.84327]
KLK3,[1],[0.84326524]
MGA,[1],[0.8432547]
EGFR,[1],[0.84244365]
WDR5,[1],[0.8421655]
TNKS1BP1,[1],[0.8420764]
PLCB1,[1],[0.84197515]
NRXN3,[1],[0.84167004]
RPS17,[1],[0.8415493]
WDHD1,[1],[0.8413689]
IQGAP1,[1],[0.8412615]
TNFRSF13B,[1],[0.84121567]
VIPR2,[1],[0.84114933]
USP6,[1],[0.84089786]
MT-CO1,[1],[0.8396126]
MED13L,[1],[0.8393558]
KCNB2,[1],[0.83877265]
TNFRSF10B,[1],[0.8387303]
TAF7,[1],[0.83851844]
U2SURP,[1],[0.8385]
ABCA1,[1],[0.8384175]
BCHE,[1],[0.8381189]
TOP2B,[1],[0.83804697]
HOXA9,[1],[0.8376632]
ROBO2,[1],[0.8371738]
PLXNA4,[1],[0.8365346]
KIF1B,[1],[0.8361702]
STRA6,[1],[0.836137]
DNAH7,[1],[0.83507764]
WASL,[1],[0.8349963]
DMXL2,[1],[0.8346094]
YY1AP1,[1],[0.83353925]
TARBP2,[1],[0.83339745]
SLC3A2,[1],[0.8327522]
CLDN1,[1],[0.831884]
SSH2,[1],[0.83186144]
WNT5A,[1],[0.8317659]
WEE1,[1],[0.8317223]
TUSC3,[1],[0.83170867]
PTPN21,[1],[0.831687]
ETV4,[1],[0.8306757]
EPHB1,[1],[0.83066255]
DOCK2,[1],[0.83053]
SORL1,[1],[0.8285076]
SNRNP200,[1],[0.8284527]
TUBB4A,[1],[0.8277462]
LILRA4,[1],[0.82756025]
CACNA1C,[1],[0.82737887]
RICTOR,[1],[0.8273179]
NUP205,[1],[0.8272745]
SNRPN,[1],[0.8271698]
PCDHB6,[1],[0.8268702]
STAT5B,[1],[0.826813]
ZMAT3,[1],[0.8263558]
TRIB3,[1],[0.8262733]
RPL13A,[1],[0.82520825]
CNTN1,[1],[0.8248728]
NOTCH3,[1],[0.8247156]
MEIS1,[1],[0.8238729]
TGFBR1,[1],[0.8238128]
ZC3H13,[1],[0.82344174]
UBE2H,[1],[0.8230437]
LTBP1,[1],[0.823018]
TFDP2,[1],[0.82233804]
QKI,[1],[0.8219402]
STAG3,[1],[0.821132]
THBS4,[1],[0.8210467]
KANSL1,[1],[0.82086736]
VEGFC,[1],[0.8208368]
OPRM1,[1],[0.8207899]
MYO15A,[1],[0.8207187]
UBA52,[1],[0.8203943]
TCF12,[1],[0.82027453]
TLN2,[1],[0.8198968]
RPL22,[1],[0.8196012]
SUMO2,[1],[0.8191455]
RPS3,[1],[0.8191179]
STK3,[1],[0.81887245]
SYT1,[1],[0.81851035]
TFAP2B,[1],[0.81845444]
SMCHD1,[1],[0.8183924]
RPL8,[1],[0.8177509]
ZNF219,[1],[0.8176508]
SMG7,[1],[0.8176296]
ASXL2,[1],[0.81678253]
KIAA1549,[1],[0.8167436]
SYT7,[1],[0.81629395]
EPHA3,[1],[0.81598294]
TSPAN33,[1],[0.8157392]
PFN1,[1],[0.8153752]
TBC1D4,[1],[0.8151808]
CPS1,[1],[0.8149219]
KAT6A,[1],[0.8149126]
TWIST1,[1],[0.81460106]
TRAPPC9,[1],[0.81442827]
PLCG2,[1],[0.81413794]
TUBA4A,[1],[0.8132512]
ADCY8,[1],[0.81220365]
CDK5RAP2,[1],[0.8121785]
RPL37A,[1],[0.81210476]
TRAK1,[1],[0.81203955]
LAMA2,[1],[0.8119818]
JAK2,[1],[0.81163925]
PTPRF,[1],[0.8115691]
UBAP2L,[1],[0.81145525]
PDS5B,[1],[0.8112521]
GAPDH,[1],[0.81092185]
UQCRH,[1],[0.81077117]
FGF2,[1],[0.810603]
BPTF,[1],[0.8102543]
NRIP1,[1],[0.8096552]
UNC13A,[1],[0.8094444]
WDTC1,[1],[0.8093912]
RPL27A,[1],[0.8087403]
SLIT3,[1],[0.8086791]
SMYD3,[1],[0.8084546]
MYO9A,[1],[0.8084099]
CHD3,[1],[0.80778104]
CHST9,[1],[0.80737793]
SCN3A,[1],[0.8071465]
CACNA1D,[1],[0.80704796]
NRXN1,[1],[0.8064968]
ZNF680,[1],[0.8061642]
MYLK,[1],[0.804671]
TNS4,[1],[0.80415297]
SUPT16H,[1],[0.803268]
IRF4,[1],[0.80322]
PTPRZ1,[1],[0.8024089]
ADAM12,[1],[0.8023904]
FOSB,[1],[0.80233884]
RPL5,[1],[0.80219245]
RPL37,[1],[0.80205315]
VPS53,[1],[0.8016647]
ITGB4,[1],[0.8016127]
KRT4,[1],[0.80121714]
SRSF1,[1],[0.80103666]
ZFYVE9,[1],[0.8004349]
UBE2C,[1],[0.80024767]
YIF1A,[1],[0.7996127]
SUPT5H,[1],[0.79932946]
PCDH7,[1],[0.79924035]
ZNF143,[1],[0.7991547]
ZNRF1,[1],[0.79896694]
PTPRJ,[1],[0.7987379]
ZNF496,[1],[0.7985216]
TIAM1,[1],[0.7984015]
HDAC2,[1],[0.79818815]
POLE,[1],[0.7977129]
TOP3A,[1],[0.79764915]
PTPN6,[1],[0.7975675]
SMC4,[1],[0.7974414]
VGLL4,[1],[0.7971881]
RPS24,[1],[0.79701966]
ITGAV,[1],[0.7965963]
TUBB2A,[1],[0.79658747]
MGAM,[1],[0.79650295]
CSF2,[1],[0.7964025]
UQCRHL,[1],[0.7961821]
SLC7A5,[1],[0.7960655]
SERPINH1,[1],[0.7956331]
VAPA,[1],[0.7953769]
RAN,[1],[0.79524773]
RPL4,[1],[0.79522485]
ZC3H8,[1],[0.7948791]
SHBG,[1],[0.79424804]
PLA2R1,[1],[0.79407424]
MAP2K4,[1],[0.7940067]
SH3BP5,[1],[0.7939688]
SMARCA1,[1],[0.79289913]
MRC1,[1],[0.79284066]
BAP1,[1],[0.7926365]
SMARCA2,[1],[0.7923145]
UBE2V2,[1],[0.79195565]
MAPK1,[1],[0.791925]
TNFAIP3,[1],[0.7916645]
TNF,[1],[0.79099977]
NCOA3,[1],[0.7908072]
VAMP3,[1],[0.7904646]
ERCC2,[1],[0.79017127]
SNRPB,[1],[0.78973454]
TSC1,[1],[0.78966224]
PTK2,[1],[0.78940785]
YWHAH,[1],[0.7891631]
RASAL2,[1],[0.7890668]
SQSTM1,[1],[0.7879639]
RPLP1,[1],[0.78744954]
EPHB2,[1],[0.78729254]
PTPRC,[1],[0.78669846]
UBL3,[1],[0.7866347]
STMN1,[1],[0.78560734]
GAPVD1,[1],[0.7852697]
SPARC,[1],[0.7852467]
RPL15,[1],[0.78521734]
HIF3A,[1],[0.7852042]
PCDH9,[1],[0.7848291]
UHRF1,[1],[0.7847144]
PCDH18,[1],[0.78465784]
TPD52,[1],[0.7846006]
PAX3,[1],[0.7843357]
DDX5,[1],[0.7839242]
WT1,[1],[0.7834006]
SV2A,[1],[0.7828476]
RPS12,[1],[0.7827845]
FGF1,[1],[0.7825165]
DNAH6,[1],[0.78233117]
HNRNPA2B1,[1],[0.78194696]
USP3,[1],[0.7814528]
WIPF2,[1],[0.781177]
DCHS1,[1],[0.7811487]
YBX3,[1],[0.78114855]
SMARCC2,[1],[0.78077096]
DOCK4,[1],[0.78073776]
TANC1,[1],[0.780042]
TRPV6,[1],[0.78002393]
SERBP1,[1],[0.7796143]
LAMA5,[1],[0.77947104]
MT1H,[1],[0.77944857]
RERE,[1],[0.77921915]
MYO3B,[1],[0.7787412]
COL1A2,[1],[0.77860266]
RPL19,[1],[0.77802587]
XRN2,[1],[0.77794075]
ATAD2,[1],[0.7779369]
TYRO3,[1],[0.7777888]
SNRPB2,[1],[0.7774832]
DNER,[1],[0.7770467]
SPTBN4,[1],[0.7766559]
DNAH17,[1],[0.7765735]
SPAG5,[1],[0.7763221]
THY1,[1],[0.77578956]
WDR6,[1],[0.7756246]
TACC2,[1],[0.77548033]
SCGB3A2,[1],[0.7751828]
VKORC1L1,[1],[0.77464026]
TPM1,[1],[0.7746308]
SALL4,[1],[0.7744015]
ZNF3,[1],[0.7740591]
USP34,[1],[0.77351123]
NCOR2,[1],[0.77326274]
TNPO2,[1],[0.77245754]
RXRA,[1],[0.7720029]
TOMM40,[1],[0.77196777]
SULF1,[1],[0.77171636]
CASZ1,[1],[0.7714397]
ANK1,[1],[0.771339]
TDRD9,[1],[0.7712903]
TRIM22,[1],[0.77088386]
WDR70,[1],[0.77082336]
CTTNBP2,[1],[0.77053314]
PTGER3,[1],[0.77029216]
WNT3A,[1],[0.77010286]
NOS1,[1],[0.7699552]
LAMC1,[1],[0.76919687]
PTK2B,[1],[0.76871455]
VTI1A,[1],[0.76861906]
SCN2A,[1],[0.768588]
COL25A1,[1],[0.76853156]
LY96,[1],[0.7683523]
IGF2BP3,[1],[0.7683327]
SKI,[1],[0.7682652]
THOC2,[1],[0.76799047]
DOCK11,[1],[0.76727825]
SLC34A2,[1],[0.7671039]
RPL10,[1],[0.7670945]
RPL23A,[1],[0.76704514]
TCL1A,[1],[0.7668484]
UBD,[1],[0.76632243]
ARHGAP31,[1],[0.7660903]
KCNMA1,[1],[0.76573455]
TRAF2,[1],[0.7656902]
SF3B3,[1],[0.76559544]
NACA,[1],[0.76530397]
HDLBP,[1],[0.7649357]
TBX4,[1],[0.7642021]
KMT2E,[1],[0.7639241]
PTBP1,[1],[0.76372373]
HAND2,[1],[0.7635816]
SHROOM3,[1],[0.7635804]
GRIK5,[1],[0.7626392]
PTMA,[1],[0.7625767]
SLCO3A1,[1],[0.7623873]
SHPRH,[1],[0.76220965]
ZNF677,[1],[0.762104]
UTP6,[1],[0.7620119]
PDE4B,[1],[0.76169235]
THOC3,[1],[0.7616461]
LPL,[1],[0.7615034]
USO1,[1],[0.76140845]
CTNNA2,[1],[0.7613404]
SIK3,[1],[0.7609629]
AQP5,[1],[0.76093644]
LMO7,[1],[0.7608852]
RTN4,[1],[0.7604432]
SEC24D,[1],[0.7603395]
FOLH1,[1],[0.76030415]
YTHDF2,[1],[0.7598887]
SMURF1,[1],[0.75979215]
MYO5A,[1],[0.7595236]
PAPPA,[1],[0.75935197]
ATP2B3,[1],[0.7589094]
PPP1R16B,[1],[0.75829095]
PREX1,[1],[0.75790024]
CTNNA3,[1],[0.75788057]
MED1,[1],[0.75688064]
ZDHHC7,[1],[0.7564154]
PLXNA1,[1],[0.7559668]
ZNF451,[1],[0.75581163]
FREM1,[1],[0.75567484]
XPR1,[1],[0.7554865]
PCBP1,[1],[0.755122]
PLXNA3,[1],[0.7548413]
RPL28,[1],[0.75464267]
TCERG1,[1],[0.7546286]
S100A11,[1],[0.75452393]
PDE1C,[1],[0.7544196]
RPS16,[1],[0.75392556]
USP33,[1],[0.7538998]
POU5F1,[1],[0.7534204]
RAPGEF1,[1],[0.7531243]
ACTC1,[1],[0.7530468]
SIRPA,[1],[0.7530145]
KCNJ16,[1],[0.75273955]
FMO2,[1],[0.75242704]
CHD1,[1],[0.75208277]
UNC5B,[1],[0.7511527]
ABCB1,[1],[0.7511123]
ZNF76,[1],[0.7508939]
AGO2,[1],[0.75058925]
MT-CO3,[1],[0.7489283]
