Gene,Predicted Label,Probability
MAP3K1,[1],[1.]
TNRC6A,[1],[1.]
GAPVD1,[1],[1.]
S100A12,[1],[1.]
LRP6,[1],[1.]
CLDN5,[1],[1.]
EVC2,[1],[1.]
FN1,[1],[1.]
JUP,[1],[1.]
MAP2K4,[1],[1.]
KLHL13,[1],[1.]
TYRP1,[1],[1.]
MAST2,[1],[1.]
LTBP4,[1],[1.]
VLDLR,[1],[1.]
LCP2,[1],[1.]
ARRB1,[1],[1.]
ASXL1,[1],[1.]
MYH4,[1],[1.]
GATA2,[1],[1.]
KDM6A,[1],[1.]
CYLD,[1],[1.]
IGFBP3,[1],[1.]
NOTCH2,[1],[1.]
PHACTR1,[1],[1.]
MAPKAPK5,[1],[1.]
COL5A2,[1],[1.]
ITPR2,[1],[1.]
TRRAP,[1],[1.]
COL6A2,[1],[1.]
DNMT3A,[1],[1.]
DOCK2,[1],[1.]
CDH17,[1],[1.]
TSC2,[1],[1.]
CUL4B,[1],[1.]
CXCR4,[1],[1.]
MRAS,[1],[1.]
ZNF462,[1],[1.]
NR4A3,[1],[1.]
DNM1,[1],[1.]
VEGFA,[1],[1.]
DLL1,[1],[1.]
PRKCZ,[1],[1.]
TCF7L1,[1],[1.]
CSRP3,[1],[1.]
KRAS,[1],[1.]
PARD3,[1],[1.]
ERBB2,[1],[1.]
CDH3,[1],[1.]
SH3KBP1,[1],[1.]
MCL1,[1],[1.]
HTR5A,[1],[1.]
RAPGEF6,[1],[1.]
CD3D,[1],[1.]
PIM1,[1],[1.]
PTEN,[1],[1.]
OR51E1,[1],[1.]
ARHGAP35,[1],[1.]
TLE3,[1],[1.]
FGG,[1],[1.]
GATA5,[1],[1.]
PIK3CA,[1],[1.]
GRP,[1],[1.]
COL18A1,[1],[1.]
BRWD1,[1],[1.]
HRAS,[1],[1.]
MGAT3,[1],[1.]
NCOA1,[1],[1.]
GLI3,[1],[1.]
CDC42BPA,[1],[1.]
ITGAX,[1],[1.]
DMD,[1],[1.]
MEP1B,[1],[1.]
SOX3,[1],[1.]
FGF6,[1],[1.]
YAP1,[1],[1.]
TGFBR2,[1],[1.]
FANCD2,[1],[1.]
BRAF,[1],[1.]
LAMB1,[1],[1.]
BRD4,[1],[1.]
CLTCL1,[1],[1.]
RB1,[1],[1.]
SPEN,[1],[1.]
TXNIP,[1],[1.]
SCNN1B,[1],[1.]
PTPN14,[1],[1.]
TIAM2,[1],[1.]
DLX1,[1],[1.]
PMEPA1,[1],[1.]
CDH10,[1],[1.]
KCNJ2,[1],[1.]
AGRN,[1],[1.]
ERBB3,[1],[1.]
IGF1,[1],[1.]
CDH13,[1],[1.]
GRIK3,[1],[1.]
SOX4,[1],[1.]
TNS1,[1],[1.]
CHD4,[1],[1.]
FGF18,[1],[1.]
NPY,[1],[1.]
CDH5,[1],[1.]
DIAPH2,[1],[1.]
CRKL,[1],[1.]
TLE1,[1],[1.]
EHHADH,[1],[1.]
ZEB1,[1],[1.]
OBSCN,[1],[1.]
MYH3,[1],[1.]
TCF4,[1],[1.]
ITGA4,[1],[1.]
ABCA1,[1],[1.]
EPM2A,[1],[1.]
HOXA2,[1],[1.]
ITPR1,[1],[1.]
JAK3,[1],[1.]
UBR4,[1],[1.]
MYO10,[1],[1.]
CUX1,[1],[1.]
POLQ,[1],[1.]
DOCK7,[1],[1.]
BCL9L,[1],[1.]
PPARGC1A,[1],[1.]
COL4A5,[1],[1.]
TRIM28,[1],[1.]
LRP5,[1],[1.]
TLE4,[1],[1.]
EDNRA,[1],[1.]
HDAC6,[1],[1.]
CYP1A1,[1],[1.]
ITGB6,[1],[1.]
NOS1,[1],[1.]
FZD4,[1],[1.]
MYL4,[1],[1.]
FAT1,[1],[1.]
NLRP3,[1],[1.]
NBR1,[1],[1.]
HOXD4,[1],[1.]
STAT5A,[1],[1.]
ATG7,[1],[1.]
TFF1,[1],[1.]
PRKCB,[1],[1.]
ITPR3,[1],[1.]
CTCF,[1],[1.]
PRF1,[1],[1.]
HOXA3,[1],[1.]
DSCAM,[1],[1.]
CD1C,[1],[1.]
EP400,[1],[1.]
TFAP2A,[1],[1.]
PPM1D,[1],[1.]
BTG2,[1],[1.]
CTF1,[1],[1.]
DNM3,[1],[1.]
KISS1,[1],[1.]
PITX2,[1],[1.]
GCG,[1],[1.]
CDH1,[1],[1.]
STAG3,[1],[1.]
PML,[1],[1.]
EZH2,[1],[1.]
MS4A2,[1],[1.]
MDC1,[1],[1.]
CDX2,[1],[1.]
WNK3,[1],[1.]
TCF7L2,[1],[1.]
PTPRK,[1],[1.]
UBR5,[1],[1.]
ZIC3,[1],[1.]
CD209,[1],[1.]
LIFR,[1],[1.]
BPTF,[1],[1.]
CR1,[1],[1.]
PIK3CG,[1],[1.]
BRCA2,[1],[1.]
GRIN2B,[1],[1.]
KLK3,[1],[1.]
LGALS3,[1],[1.]
MGA,[1],[1.]
PRSS1,[1],[1.]
CDH6,[1],[1.]
TRIM27,[1],[1.]
GRAP2,[1],[1.]
NGF,[1],[1.]
ACTN2,[1],[1.]
CIDEC,[1],[1.]
PIK3C2A,[1],[1.]
PAK2,[1],[1.]
SHPRH,[1],[1.]
ITSN2,[1],[1.]
CDH4,[1],[1.]
PTGDR,[1],[1.]
HUWE1,[1],[1.]
TAB3,[1],[1.]
CCR5,[1],[1.]
IL6ST,[1],[1.]
SOX17,[1],[1.]
USP6,[1],[1.]
SOX9,[1],[1.]
VIM,[1],[1.]
SALL1,[1],[1.]
PRKCE,[1],[1.]
PARP1,[1],[1.]
LRP2,[1],[1.]
CUL3,[1],[1.]
NRG3,[1],[1.]
AMPH,[1],[1.]
CAPG,[1],[1.]
IHH,[1],[1.]
SRCAP,[1],[1.]
KALRN,[1],[1.]
CDKN2A,[1],[1.]
EEF1A1,[1],[1.]
CXCL12,[1],[1.]
BCL2L11,[1],[1.]
FGFR4,[1],[1.]
APBB1IP,[1],[1.]
RNF43,[1],[1.]
HTR1A,[1],[1.]
ADAM12,[1],[1.]
ADAMTS12,[1],[1.]
KMT2A,[1],[1.]
NTRK3,[1],[1.]
GRIP1,[1],[1.]
VCL,[1],[1.]
FGFR1,[1],[1.]
IL1B,[1],[1.]
RAP1B,[1],[1.]
CNTFR,[1],[1.]
ZFPM2,[1],[1.]
CTNND1,[1],[1.]
NR5A2,[1],[1.]
TRIM24,[1],[1.]
SOX2,[1],[1.]
EDARADD,[1],[1.]
TGOLN2,[1],[1.]
GNAS,[1],[1.]
BUB1B,[1],[1.]
SPTBN1,[1],[1.]
IRF4,[1],[1.]
EDN3,[1],[1.]
AMER1,[1],[1.]
XIAP,[1],[1.]
CDH11,[1],[1.]
TG,[1],[1.]
RNF213,[1],[1.]
GP2,[1],[1.]
TERT,[1],[1.]
MACF1,[1],[1.]
NOTCH4,[1],[1.]
DNAJC6,[1],[1.]
DAB2IP,[1],[1.]
JMJD1C,[1],[1.]
SALL4,[1],[1.]
NCOR1,[1],[1.]
PTPRC,[1],[1.]
GALNTL5,[1],[1.]
FGF19,[1],[1.]
ERBB4,[1],[1.]
CD9,[1],[1.]
PLXND1,[1],[1.]
NOS2,[1],[1.]
DST,[1],[1.]
PLEC,[1],[1.]
CIT,[1],[1.]
KMT2B,[1],[1.]
SMAD4,[1],[1.]
KAT6A,[1],[1.]
TRPS1,[1],[1.]
TAF1,[1],[1.]
DNAH7,[1],[1.]
EPHA7,[1],[1.]
ZNF479,[1],[1.]
GON4L,[1],[1.]
HTT,[1],[1.]
RXRG,[1],[1.]
ARID1B,[1],[1.]
CDKN1A,[1],[1.]
IRS2,[1],[1.]
MYH8,[1],[1.]
MLNR,[1],[1.]
VHL,[1],[1.]
NEB,[1],[1.]
TBL1XR1,[1],[1.]
TGFBR1,[1],[1.]
ACTL6B,[1],[1.]
ASPH,[1],[1.]
FGFR2,[1],[1.]
ARID2,[1],[1.]
IGF2R,[1],[1.]
RUNX1,[1],[1.]
RIMS2,[1],[1.]
QKI,[1],[1.]
ARID1A,[1],[1.]
CNOT1,[1],[1.]
SGIP1,[1],[1.]
SYNE2,[1],[1.]
SKI,[1],[1.]
SPTA1,[1],[1.]
REV3L,[1],[1.]
APC,[1],[1.]
HERC1,[1],[1.]
BTK,[1],[1.]
REST,[1],[1.]
NF1,[1],[1.]
FGFR3,[1],[1.]
SYT9,[1],[1.]
CD79B,[1],[1.]
GRM5,[1],[1.]
HCFC1,[1],[1.]
GRM1,[1],[1.]
TAL1,[1],[1.]
COL5A1,[1],[1.]
TRIO,[1],[1.]
SRL,[1],[1.]
GUCY2F,[1],[1.]
VCAM1,[1],[1.]
LMO1,[1],[1.]
KMT2C,[1],[1.]
ROBO1,[1],[1.]
PCNT,[1],[1.]
BRD2,[1],[0.9999999]
ITGB4,[1],[0.9999999]
SMARCD2,[1],[0.9999999]
MAP3K14,[1],[0.9999999]
TLR7,[1],[0.9999999]
NR0B1,[1],[0.9999999]
BATF,[1],[0.9999999]
KIF5B,[1],[0.9999999]
YY1,[1],[0.9999999]
FOLH1,[1],[0.9999999]
SLC18A3,[1],[0.9999999]
ZNRF3,[1],[0.9999999]
MUC13,[1],[0.9999999]
WNT2,[1],[0.9999999]
CREB3L3,[1],[0.9999999]
COL2A1,[1],[0.9999999]
EPHA2,[1],[0.9999999]
SCN10A,[1],[0.9999999]
MYH1,[1],[0.9999999]
CSF2RB,[1],[0.9999999]
SNAP91,[1],[0.9999999]
DNAH2,[1],[0.9999999]
TFE3,[1],[0.9999999]
APOB,[1],[0.9999999]
GRIN2A,[1],[0.9999999]
IL1R1,[1],[0.9999999]
CHRM3,[1],[0.9999999]
MST1R,[1],[0.9999999]
ACVR1B,[1],[0.9999999]
CYCS,[1],[0.9999999]
MYL9,[1],[0.9999999]
NPHS1,[1],[0.9999999]
WDFY3,[1],[0.9999999]
ACKR1,[1],[0.9999999]
SDC2,[1],[0.9999999]
CRK,[1],[0.9999999]
PLCG2,[1],[0.9999999]
MEF2C,[1],[0.9999999]
BCL9,[1],[0.9999999]
PIGR,[1],[0.9999999]
AKAP9,[1],[0.9999999]
BMPR1A,[1],[0.9999999]
ARHGAP32,[1],[0.9999999]
BCL7A,[1],[0.9999999]
ANO1,[1],[0.9999999]
FOXM1,[1],[0.9999999]
PPP1R16B,[1],[0.9999999]
CCND1,[1],[0.9999999]
RAPGEF1,[1],[0.9999999]
FCGR2B,[1],[0.9999999]
SGMS1,[1],[0.9999999]
LNPEP,[1],[0.9999999]
CD19,[1],[0.9999999]
SPRED1,[1],[0.9999999]
RORB,[1],[0.9999999]
ADAM17,[1],[0.9999999]
RYR1,[1],[0.9999999]
FZD10,[1],[0.9999999]
WNT7A,[1],[0.9999999]
ATR,[1],[0.9999999]
EDN1,[1],[0.9999999]
DOT1L,[1],[0.9999999]
WNT11,[1],[0.9999999]
DOCK5,[1],[0.9999999]
ADCY8,[1],[0.9999999]
IQGAP2,[1],[0.9999999]
RASA1,[1],[0.9999999]
THBS1,[1],[0.9999999]
GDNF,[1],[0.9999999]
KMT2E,[1],[0.9999999]
CACNA1D,[1],[0.9999999]
STAG2,[1],[0.9999999]
SIPA1L1,[1],[0.9999999]
PSD,[1],[0.9999999]
NOTCH1,[1],[0.9999999]
CCL8,[1],[0.9999999]
TP53,[1],[0.9999999]
TNC,[1],[0.9999999]
IRAK1,[1],[0.9999999]
ADORA1,[1],[0.9999999]
CCND2,[1],[0.9999999]
OTUD7B,[1],[0.9999999]
ANK2,[1],[0.9999999]
PPP2R5B,[1],[0.9999999]
BCL7B,[1],[0.9999999]
SMC1A,[1],[0.99999976]
PLXNA4,[1],[0.99999976]
EGR2,[1],[0.99999976]
DYNC2H1,[1],[0.99999976]
CTSV,[1],[0.99999976]
EGF,[1],[0.99999976]
EFNB3,[1],[0.99999976]
CCNF,[1],[0.99999976]
MUSK,[1],[0.99999976]
GALNT13,[1],[0.99999976]
PDGFB,[1],[0.99999976]
CUL9,[1],[0.99999976]
FASN,[1],[0.99999976]
CDK6,[1],[0.99999976]
HIVEP2,[1],[0.99999976]
DGCR8,[1],[0.99999976]
SMPD1,[1],[0.99999976]
FES,[1],[0.99999976]
TGIF1,[1],[0.99999976]
SUV39H1,[1],[0.99999976]
SMARCA2,[1],[0.99999976]
GNRHR,[1],[0.99999976]
PTPRZ1,[1],[0.99999976]
STAT3,[1],[0.99999976]
GTF2A1L,[1],[0.99999976]
HOXD3,[1],[0.99999976]
PTPRN,[1],[0.99999976]
SLC6A3,[1],[0.99999976]
TACC2,[1],[0.99999976]
IDH1,[1],[0.99999976]
IGSF1,[1],[0.99999976]
TNRC6B,[1],[0.99999976]
LHCGR,[1],[0.99999976]
LAMA5,[1],[0.99999976]
RRAS,[1],[0.99999976]
SFRP4,[1],[0.99999976]
CSF2RA,[1],[0.99999976]
EP300,[1],[0.99999976]
SLIT2,[1],[0.99999976]
F2RL2,[1],[0.99999976]
SETX,[1],[0.99999976]
PLCB2,[1],[0.99999976]
MAFB,[1],[0.99999976]
TDGF1,[1],[0.99999976]
GJA1,[1],[0.99999976]
PLG,[1],[0.99999976]
TMPRSS2,[1],[0.99999976]
MED1,[1],[0.99999976]
ARHGEF7,[1],[0.99999976]
PLCB1,[1],[0.99999976]
NF2,[1],[0.99999976]
ITGA1,[1],[0.99999976]
DRD5,[1],[0.99999976]
TACR1,[1],[0.99999976]
NOD1,[1],[0.99999976]
LAMA1,[1],[0.99999976]
HERC2,[1],[0.99999976]
NMUR2,[1],[0.99999976]
FOXH1,[1],[0.99999976]
E2F7,[1],[0.99999976]
EFNB1,[1],[0.99999976]
VAV3,[1],[0.99999964]
CALD1,[1],[0.99999964]
NPAS2,[1],[0.99999964]
ADCY1,[1],[0.99999964]
PIP5K1B,[1],[0.99999964]
TLN1,[1],[0.99999964]
ADAMTS2,[1],[0.99999964]
CHRM1,[1],[0.99999964]
SCTR,[1],[0.99999964]
COL16A1,[1],[0.99999964]
SET,[1],[0.99999964]
CTBP2,[1],[0.99999964]
GZMB,[1],[0.99999964]
C3AR1,[1],[0.99999964]
FASLG,[1],[0.99999964]
RAF1,[1],[0.99999964]
C3,[1],[0.99999964]
ELK1,[1],[0.99999964]
SMCHD1,[1],[0.99999964]
F2RL1,[1],[0.99999964]
NRG1,[1],[0.99999964]
HMGA1,[1],[0.99999964]
IL5RA,[1],[0.99999964]
ARF6,[1],[0.99999964]
MDM4,[1],[0.99999964]
DAB2,[1],[0.99999964]
FOXO1,[1],[0.99999964]
EPO,[1],[0.99999964]
FOSL1,[1],[0.99999964]
CDH9,[1],[0.99999964]
DOCK3,[1],[0.99999964]
LTBP1,[1],[0.9999995]
AKT3,[1],[0.9999995]
ARHGEF12,[1],[0.9999995]
PTPRM,[1],[0.9999995]
CALB1,[1],[0.9999995]
ATP6V1G3,[1],[0.9999995]
HNF1A,[1],[0.9999995]
CDH2,[1],[0.9999995]
SLC26A6,[1],[0.9999995]
ROCK2,[1],[0.9999995]
TUBB6,[1],[0.9999995]
MYO9B,[1],[0.9999995]
HOXA9,[1],[0.9999995]
XCL1,[1],[0.9999995]
ATM,[1],[0.9999995]
TACR2,[1],[0.9999995]
PRLR,[1],[0.9999995]
TEP1,[1],[0.9999995]
MDN1,[1],[0.9999995]
CCK,[1],[0.9999995]
CLIC5,[1],[0.9999995]
MAP1A,[1],[0.9999995]
EIF4A2,[1],[0.9999995]
CBX6,[1],[0.9999995]
PMP22,[1],[0.9999995]
DHH,[1],[0.9999995]
TTC21B,[1],[0.9999995]
CSF3R,[1],[0.9999995]
IKZF3,[1],[0.9999995]
COMP,[1],[0.9999995]
COL4A1,[1],[0.9999995]
ACVR2A,[1],[0.9999995]
TWIST1,[1],[0.9999995]
GABRA4,[1],[0.9999995]
RGS3,[1],[0.9999995]
TLR8,[1],[0.9999994]
ROBO2,[1],[0.9999994]
WWP1,[1],[0.9999994]
USP28,[1],[0.9999994]
TNS4,[1],[0.9999994]
TJP1,[1],[0.9999994]
LYN,[1],[0.9999994]
MAGI2,[1],[0.9999994]
ADAM10,[1],[0.9999994]
CLDN16,[1],[0.9999994]
PTPN13,[1],[0.9999994]
BCL10,[1],[0.9999994]
IPMK,[1],[0.9999994]
HIF1A,[1],[0.9999994]
UNC5B,[1],[0.9999994]
SMAD2,[1],[0.9999994]
MAPK8,[1],[0.9999994]
FLRT2,[1],[0.9999994]
IRAK4,[1],[0.9999994]
SEMA6D,[1],[0.9999994]
COL5A3,[1],[0.9999994]
FGF1,[1],[0.9999993]
ZBTB17,[1],[0.9999993]
SORL1,[1],[0.9999993]
NCAM1,[1],[0.9999993]
RASGEF1A,[1],[0.9999993]
PAX8,[1],[0.9999993]
THSD7A,[1],[0.9999993]
LEF1,[1],[0.9999993]
NFIC,[1],[0.9999993]
BAG4,[1],[0.9999993]
IGLL5,[1],[0.9999993]
CAND1,[1],[0.9999993]
COL11A1,[1],[0.9999993]
MTA1,[1],[0.9999993]
FSTL1,[1],[0.9999993]
DAXX,[1],[0.9999993]
PIK3CD,[1],[0.9999993]
SP1,[1],[0.9999993]
MYLK3,[1],[0.9999993]
COL6A3,[1],[0.9999993]
DROSHA,[1],[0.9999993]
ALB,[1],[0.9999993]
ATP7B,[1],[0.9999993]
VCAN,[1],[0.9999993]
DNAH1,[1],[0.9999993]
LMNB2,[1],[0.9999993]
TAF9,[1],[0.9999993]
RAP1A,[1],[0.9999993]
GFRA1,[1],[0.9999993]
HCK,[1],[0.99999917]
ALK,[1],[0.99999917]
GFRA2,[1],[0.99999917]
MLF1,[1],[0.99999917]
ALOX15,[1],[0.99999917]
HSPA1B,[1],[0.99999917]
HOXB13,[1],[0.99999917]
SNRPN,[1],[0.99999917]
MITF,[1],[0.99999917]
IL23R,[1],[0.99999917]
JUNB,[1],[0.99999917]
FZD5,[1],[0.99999917]
SYK,[1],[0.99999917]
EDNRB,[1],[0.99999917]
COL9A3,[1],[0.99999917]
GNAQ,[1],[0.99999917]
IFNG,[1],[0.99999917]
ALOX15B,[1],[0.99999917]
HBEGF,[1],[0.99999917]
LPP,[1],[0.99999917]
GNG11,[1],[0.99999917]
PRKCA,[1],[0.99999917]
CACNA1A,[1],[0.99999917]
IL18,[1],[0.99999917]
HSPA1A,[1],[0.99999905]
MAPK14,[1],[0.99999905]
GTF2H5,[1],[0.99999905]
GPX1,[1],[0.99999905]
TRIM22,[1],[0.99999905]
BST1,[1],[0.99999905]
ZFYVE16,[1],[0.99999905]
UGCG,[1],[0.99999905]
CARD11,[1],[0.99999905]
SEMA3C,[1],[0.99999905]
BCL2,[1],[0.99999905]
TBL1X,[1],[0.99999905]
NAB2,[1],[0.99999905]
CD86,[1],[0.99999905]
IQGAP3,[1],[0.99999905]
NLRC4,[1],[0.99999905]
GPC3,[1],[0.9999989]
PFKFB1,[1],[0.9999989]
GRB7,[1],[0.9999989]
GAB1,[1],[0.9999989]
HSPA8,[1],[0.9999989]
ACVR2B,[1],[0.9999989]
LRRC7,[1],[0.9999989]
ADCY7,[1],[0.9999989]
CD3G,[1],[0.9999989]
ANGPT1,[1],[0.9999989]
SNAP25,[1],[0.9999989]
IL2RB,[1],[0.9999989]
SCN1A,[1],[0.9999989]
TPM4,[1],[0.9999989]
CRMP1,[1],[0.9999989]
LAMC1,[1],[0.9999989]
CHUK,[1],[0.9999989]
PC,[1],[0.9999988]
CD48,[1],[0.9999988]
FZD1,[1],[0.9999988]
TYR,[1],[0.9999988]
KCNJ16,[1],[0.9999988]
PAK3,[1],[0.9999988]
ARFGEF1,[1],[0.9999988]
CCR1,[1],[0.9999988]
CACNB2,[1],[0.9999988]
GRHL1,[1],[0.9999988]
BDNF,[1],[0.9999988]
FGF10,[1],[0.9999988]
AASS,[1],[0.9999988]
COL4A2,[1],[0.9999988]
RAC1,[1],[0.9999988]
KDM5B,[1],[0.9999987]
ARNT,[1],[0.9999987]
AP2A2,[1],[0.9999987]
IL20RA,[1],[0.9999987]
EML1,[1],[0.9999987]
SETD6,[1],[0.9999987]
FABP1,[1],[0.9999987]
POLA1,[1],[0.9999987]
ANK1,[1],[0.9999987]
COL4A4,[1],[0.9999987]
MYO18B,[1],[0.9999987]
APP,[1],[0.9999987]
RPL31,[1],[0.99999857]
F2R,[1],[0.99999857]
ATXN7,[1],[0.99999857]
PDYN,[1],[0.99999857]
FLT3,[1],[0.99999857]
CAV1,[1],[0.99999857]
SIK3,[1],[0.99999857]
FMN1,[1],[0.99999857]
DHX9,[1],[0.99999857]
CCL2,[1],[0.99999857]
SZT2,[1],[0.99999857]
GLP1R,[1],[0.99999857]
FGF9,[1],[0.99999845]
SPP2,[1],[0.99999845]
MLXIP,[1],[0.99999845]
ANXA1,[1],[0.99999845]
ABCB1,[1],[0.99999845]
NTF3,[1],[0.99999845]
LRP1,[1],[0.99999845]
NANOG,[1],[0.99999845]
NGFR,[1],[0.99999833]
ITGA5,[1],[0.99999833]
TBX21,[1],[0.99999833]
TAF5,[1],[0.99999833]
E2F1,[1],[0.99999833]
TRAT1,[1],[0.99999833]
CPT1A,[1],[0.99999833]
SPATA13,[1],[0.99999833]
HCRTR1,[1],[0.9999982]
TRIM25,[1],[0.9999982]
ATP11A,[1],[0.9999982]
TFAP2B,[1],[0.9999982]
USP48,[1],[0.9999982]
CD4,[1],[0.9999982]
SUPT5H,[1],[0.9999982]
F2,[1],[0.9999982]
TCF3,[1],[0.9999982]
CCL3,[1],[0.9999981]
USP7,[1],[0.9999981]
MLLT1,[1],[0.9999981]
SFRP1,[1],[0.9999981]
LMX1B,[1],[0.9999981]
NKD2,[1],[0.9999981]
CLDN1,[1],[0.9999981]
PTGFR,[1],[0.9999981]
MYH6,[1],[0.9999981]
YWHAQ,[1],[0.9999981]
GP9,[1],[0.9999981]
TGM2,[1],[0.9999981]
TIAM1,[1],[0.9999981]
CRP,[1],[0.9999981]
GHRL,[1],[0.999998]
NCOR2,[1],[0.999998]
CEP135,[1],[0.999998]
CTNNA1,[1],[0.999998]
NFATC1,[1],[0.999998]
PRKCQ,[1],[0.999998]
S1PR1,[1],[0.999998]
RARB,[1],[0.999998]
RBPJ,[1],[0.99999785]
AVPR1A,[1],[0.99999785]
YES1,[1],[0.99999785]
S100A7,[1],[0.99999785]
ANK3,[1],[0.99999785]
HSD17B4,[1],[0.99999785]
NCOA6,[1],[0.99999785]
NFATC2,[1],[0.99999785]
DSTN,[1],[0.99999785]
CSNK1E,[1],[0.99999785]
PARP14,[1],[0.99999785]
ELF3,[1],[0.99999785]
NRG4,[1],[0.99999785]
THRB,[1],[0.99999785]
NRCAM,[1],[0.99999785]
IGFBP6,[1],[0.99999785]
GNAZ,[1],[0.99999774]
LGALS9,[1],[0.99999774]
KDM6B,[1],[0.99999774]
MYT1,[1],[0.99999774]
PLXNA1,[1],[0.99999774]
NRG2,[1],[0.99999774]
TNFAIP3,[1],[0.99999774]
DIAPH1,[1],[0.9999976]
CSNK1A1,[1],[0.9999976]
DTX4,[1],[0.9999976]
ZNF331,[1],[0.9999976]
SLC6A17,[1],[0.9999976]
ACTB,[1],[0.9999976]
DAAM1,[1],[0.9999975]
COLEC12,[1],[0.9999975]
COL9A2,[1],[0.9999975]
ITPKB,[1],[0.9999975]
NR1I3,[1],[0.9999975]
SUPT16H,[1],[0.9999975]
CBLB,[1],[0.9999975]
DLG4,[1],[0.9999975]
EYA4,[1],[0.9999974]
WNT3A,[1],[0.9999974]
SULT2A1,[1],[0.9999974]
MEGF10,[1],[0.9999974]
KDM1A,[1],[0.99999726]
GTF2F1,[1],[0.99999726]
FOXL2,[1],[0.99999726]
CSF2,[1],[0.99999726]
CD14,[1],[0.99999726]
DDX6,[1],[0.99999726]
ADAMTS7,[1],[0.99999726]
NFKB2,[1],[0.99999726]
MMP13,[1],[0.99999714]
PRDM16,[1],[0.99999714]
EGFR,[1],[0.99999714]
POLD4,[1],[0.99999714]
NTRK1,[1],[0.99999714]
ITGAM,[1],[0.99999714]
EDN2,[1],[0.99999714]
SPDYA,[1],[0.99999714]
CIDEA,[1],[0.999997]
ROR2,[1],[0.999997]
CASP3,[1],[0.999997]
PIP4K2C,[1],[0.999997]
HEY2,[1],[0.999997]
PIK3R2,[1],[0.999997]
ITGAV,[1],[0.999997]
CHD1,[1],[0.9999969]
SMG1,[1],[0.9999969]
ALMS1,[1],[0.9999969]
INPPL1,[1],[0.9999969]
LEPR,[1],[0.9999969]
ACTG1,[1],[0.9999969]
MBD4,[1],[0.9999969]
ISX,[1],[0.9999968]
PLXNB1,[1],[0.9999968]
HCLS1,[1],[0.9999968]
VIPR2,[1],[0.9999968]
CXCR3,[1],[0.9999968]
RET,[1],[0.9999968]
LBP,[1],[0.9999968]
SPTBN2,[1],[0.9999968]
DOCK8,[1],[0.9999968]
POLR2J,[1],[0.99999666]
CCNA1,[1],[0.99999666]
SLIT1,[1],[0.99999666]
ARID5B,[1],[0.99999666]
POLR2G,[1],[0.99999666]
AMOTL1,[1],[0.99999666]
ZEB2,[1],[0.99999666]
XPA,[1],[0.99999666]
RXFP4,[1],[0.99999654]
SLC12A1,[1],[0.99999654]
